,sentence_id,word_id,lemma,transliteration,dependency,head,English
0,1.0,1.0,šag,šag₄-ge,nsubj,5.0,A heart never created hatred
1,1.0,2.0,šag,šag₄,obj,5.0,A heart never created hatred
2,1.0,3.0,hulu,hul,amod,2.0,A heart never created hatred
3,1.0,4.0,gig,gig,amod,2.0,A heart never created hatred
4,1.0,5.0,utud,nu-ub-tu-ud,root,5.0,A heart never created hatred
5,2.0,1.0,dug,dug₄-ge,nsubj,5.0,Speech created hatred.
6,2.0,2.0,šag,šag₄,obj,5.0,Speech created hatred.
7,2.0,3.0,hulu,hul,amod,2.0,Speech created hatred.
8,2.0,4.0,gig,gig,amod,2.0,Speech created hatred.
9,2.0,5.0,utud,ib₂-tu-ud,root,5.0,Speech created hatred.
10,3.0,1.0,agar,a-gar₃-e,pobj,3.0,The water dried up from the water meadows
11,3.0,2.0,a,a,nsubj,3.0,The water dried up from the water meadows
12,3.0,3.0,ah,ba-had₂,root,3.0,The water dried up from the water meadows
13,4.0,1.0,šukud,šu-KU₆-da-bi,csubj,2.0,There were no fishermen there.
14,4.0,2.0,me,ba-nu,root,2.0,There were no fishermen there.
15,5.0,1.0,šukud,šu-KU₆-de₃,nsubj,3.0,The fisherman caught no fish
16,5.0,2.0,kud,ku₆,obj,3.0,The fisherman caught no fish
17,5.0,3.0,de,nu-un-de₆,root,3.0,The fisherman caught no fish
18,6.0,1.0,buniŋ,{ŋeš}buniŋ,obl,3.0,A trough from which the pigs eat.
19,6.0,2.0,šah,šah₂,nsubj,3.0,A trough from which the pigs eat.
20,6.0,3.0,gu,gu₇-gu₇,root,3.0,A trough from which the pigs eat.
21,7.0,1.0,igi,igi,compound:prt,2.0,Marry a wife according to your choice
22,7.0,2.0,il,il₂-la-zu,aux,4.0,Marry a wife according to your choice
23,7.0,3.0,dam,dam,obj,4.0,Marry a wife according to your choice
24,7.0,4.0,tuku,tuku-ba-ni-ib,root,4.0,Marry a wife according to your choice
25,8.0,1.0,nita,nitah,nsubj,4.0,A male aroused eats salt
26,8.0,2.0,zig,zig₃-ga-am₃,acl,1.0,A male aroused eats salt
27,8.0,3.0,mun,mun,obj,4.0,A male aroused eats salt
28,8.0,4.0,gu,al-gu₇-e,root,4.0,A male aroused eats salt
29,9.0,1.0,mussatur,mussa-tur,nsubj,3.0,Sons-in-law -- what have they brought?
30,9.0,2.0,ta,ta,obj,3.0,Sons-in-law -- what have they brought?
31,9.0,3.0,ir,mu-un-ir-ra-bi,root,3.0,Sons-in-law -- what have they brought?
32,10.0,1.0,kisikil,ki-sikil,nsubj:pass,5.0,A chattering girl is silenced by her mother.
33,10.0,2.0,gu,gu₃,compound:prt,1.0,A chattering girl is silenced by her mother.
34,10.0,3.0,rah,ra-ah,aux,3.0,A chattering girl is silenced by her mother.
35,10.0,4.0,ama,ama-ni,pobj,5.0,A chattering girl is silenced by her mother.
36,10.0,5.0,sig,mu-un-sig₉,root,5.0,A chattering girl is silenced by her mother.
37,11.0,1.0,ŋuruš,ŋuruš,nsubj:pass,5.0,A chattering boy is not silenced by his mother.
38,11.0,2.0,lu,lu₂,amod,1.0,A chattering boy is not silenced by his mother.
39,11.0,3.0,gu,gu₃,compound:prt,1.0,A chattering boy is not silenced by his mother.
40,11.0,4.0,rah,ra-ah,aux,3.0,A chattering boy is not silenced by his mother.
41,11.0,5.0,ama,ama-ni,pobj,6.0,A chattering boy is not silenced by his mother.
42,11.0,6.0,sig,nu-mu-un-da-an-sig₉,root+neg,6.0,A chattering boy is not silenced by his mother.
43,12.0,1.0,dur,dur₂,amod,2.0,Let her eat the ham of a pig!
44,12.0,2.0,šah,šah₂,obj,3.0,Let her eat the ham of a pig!
45,12.0,3.0,gu,he₂-gu₇-e,root,3.0,Let her eat the ham of a pig!
46,13.0,1.0,tur,tur₅-ra,nsubj,1.0,To be sick is acceptable
47,13.0,2.0,dug,dug₃-ga-am₃,xcomp,2.0,To be sick is acceptable
48,14.0,1.0,niŋ,niŋ₂,obj,4.0,He did something never seen before.
49,14.0,2.0,igi,igi,nsubj,3.0,He did something never seen before.
50,14.0,3.0,du,nu-du₈-a-gin₇,advcl:relcl,1.0,He did something never seen before.
51,14.0,4.0,ak,mu-un-ak,root,4.0,He did something never seen before.
52,15.0,1.0,niŋ,niŋ₂,obj,3.0,I always seem to be speaking about unpleasant things.
53,15.0,2.0,dug,nu-dug₃,amod,1.0,I always seem to be speaking about unpleasant things.
54,15.0,3.0,dug,ga-dug₄-dug₄,root,3.0,I always seem to be speaking about unpleasant things.
55,16.0,1.0,niŋ,niŋ₂-ŋu₁₀,nsubj,1.0,My things changed things.
56,16.0,2.0,niŋ,niŋ₂,obj,2.0,My things changed things.
